"doc_id","text","album","year","songwriters","vocals","songwriter_Harrison","songwriter_Lennon","songwriter_McCartney","songwriter_Starr","vocals_Harrison","vocals_Lennon","vocals_McCartney","vocals_Starr","negative","positive","<NA>","sentiment"
"Any Time at All","Any time at all, Any time at all, Any time at all, All you've gotta do is call and I'll be there. If you need somebody to love, Just look into my eyes, I'll be there to make you feel right. If you're feeling sorry and sad, I'd really sympathize. Don't you be sad, just call me tonight. Any time at all, Any time at all, Any time at all, All you've gotta do is call and I'll be there. If the sun has faded away, I'll try to make it shine, There's nothing I won't do If you need a shoulder to cry on, I hope it will be mine. Call me tonight, and I'll come to you. Any time at all, Any time at all, Any time at all, All you've gotta do is call and I'll be there. Any time at all, All you've gotta do is call and I'll be there.","A Hard Day's Night","1964","Lennon/McCartney","Lennon",0,1,1,0,0,1,0,0,4,3,45,-1
"Ask Me Why","I love you, 'cause you tell me things I want to know. And it's true that it really only goes to show, That I know, That I, should never ever ever be blue. Now you're mine, my happiness still makes me cry. And in time, you'll understand the reason why, If I cry, It's not because I'm sad, But you're the only love that I've ever had. I can't believe it's happened to me. I can't conceive of any more misery. Ask me why, I'll say I love you, And I'm always thinking of you. I love you, 'cause you tell me things I want to know. And it's true that it really only goes to show, That I know, That I, should never ever ever be blue. Ask me why, I'll say I love you, And I'm always thinking of you. I can't believe it's happened to me. I can't conceive of any more misery. Ask me why, I'll say I love you, And I'm always thinking of you.","Please Please Me","1963","Lennon/McCartney","Lennon",0,1,1,0,0,1,0,0,5,7,54,2
"Baby's in Black","Oh dear, what can I do? Baby's in black and I'm feeling blue, Tell me, oh what can I do? She thinks of him, And so she dresses in black, And though he'll never come back, She's dressed in black. Oh dear, what can I do? Baby's in black and I'm feeling blue, Tell me, oh what can I do? I think of her, but she only thinks of him, And though it's only a whim, she thinks of him. Oh how long will it take, Till she sees the mistake she has made? Dear what can I do? Baby's in black and I'm feeling blue, Tell me, oh what can I do? Oh how long it will take, Till she sees the mistake she has made? Dear what can I do? Baby's in black and I'm feeling blue, Tell me, oh what can I do? She thinks of him, And so she dresses in black, And though he'll never come back, She's dressed in black. Oh dear, what can I do? Baby's in black and I'm feeling blue, Tell me, oh what can I do?","Beatles for Sale","1964","Lennon/McCartney","Lennon/McCartney",0,1,1,0,0,1,1,0,2,0,75,-2
"Baby, You're a Rich Man","How does it feel to be One of the beautiful people? Now that you know who you are What do you want to be? And have you travelled very far? Far as the eye can see. How does it feel to be One of the beautiful people? How often have you been there? Often enough to know. What did you see, when you were there? Nothing that doesn't show. Baby you're a rich man, Baby you're a rich man, Baby you're a rich man too. You keep all your money in a big brown bag inside a zoo. What a thing to do. Baby you're a rich man, Baby you're a rich man, Baby you're a rich man too. How does it feel to be One of the beautiful people? Tuned to A natural E Happy to be that way. Now that you've found another key What are you going to play? Baby you're a rich man, Baby you're a rich man, Baby you're a rich man too. You keep all your money in a big brown bag inside a zoo. What a thing to do. Baby you're a rich man...","Magical Mystery Tour","1967","Lennon/McCartney","Lennon",0,1,1,0,0,1,0,0,0,15,69,15
"Back in the U.S.S.R.","Oh, flew in from Miami Beach B. O. A. C. Didn't get to bed last night On the way the paper bag was on my knee Man I had a dreadful flight I'm back in the you. S. S. Are. You don't know how lucky you are boy Back in the you. S. S. Are. (Yeah)  Been away so long I hardly knew the place Gee it's good to be back home Leave it till tomorrow to unpack my case Honey disconnect the phone I'm back in the you. S. S. Are. You don't know how lucky you are boy Back in the you. S. Back in the you. S. Back in the you. S. S. Are.  Well the Ukraine girls really knock me out They leave the West behind And Moscow girls make me sing and shout That Georgia's always on my mind  Aw come on! Ho yeah! Ho yeah! Ho ho yeah! Yeah yeah!  Yeah I'm back in the you. S. S. Are. You don't know how lucky you are boys Back in the you. S. S. Are.  Well the Ukraine girls really knock me out They leave the West behind And Moscow girls make me sing and shout That Georgia's always on my mind  Oh, show me around your snow-peaked mountains way down south Take me to your daddy's farm Let me hear your balalaika's ringing out Come and keep your comrade warm I'm back in the you. S. S. Are. Hey you don't know how lucky you are boys Back in the you. S. S. Are.  Oh let me tell you, honey Hey, I'm back! I'm back in the you. S. S. Are. Yes, I'm free! Yeah, back in the you. S. S. Are.  Ha ha","The Beatles","1968","McCartney","McCartney",0,0,1,0,0,0,1,0,3,9,109,6
"Because","(Lennon/Mccartney) Aaaaaahhhhhh... Because the world is round it turns me on Because the world is round... Aaaaaahhhhhh Because the wind is high it blows my mind Because the wind is high... Aaaaaaaahhhh Love is all, love is new Love is all, love is you Because the sky is blue, it makes me cry Because the sky is blue... Aaaaaaaahhhh Aaaaahhhhhhhhhh... Aaaaahhhhhhhhhh... Aaaaahhhhhhhhhh...","Abbey Road","1969","Lennon","Harrison",0,1,0,0,1,0,0,0,1,4,25,3
"Being for the Benefit of Mr. Kite!","For the benefit of Mr. Kite There will be a show tonight on trampoline  The Hendersons will all be there Late of Pablo Fanques Fair, what a scene!  Over men and horses hoops and garters Lastly through a hogshead of real fire! In this way Mr. Kite will challenge the world!  The celebrated Mr. Kite Performs his feat on Saturday at Bishopsgate  The Hendersons will dance and sing As Mr. Kite flys through the ring, don't be late!  Messrs. K and H assure the public Their production will be second to none And of course Henry The Horse dances the waltz!  The band begins at ten to six When Mr. Kite performs his tricks without a sound  And Mr. H will demonstrate Ten summersets he'll undertake on solid ground  Having been some days in preparation A splendid time is guaranteed for all And tonight Mr. Kite is topping the bill!","Sgt. Pepper's Lonely Hearts Club Band","1967","Lennon/McCartney","Lennon",0,1,1,0,0,1,0,0,0,7,70,7
"Birthday","(Lennon/Mccartney) They say it's your birthday It's my birthday too, yeah They say it's your birthday We're gonna have a good time I'm glad it's your birthday Happy birthday to you Ah Ah Ah Come on Come on Yes we're going to a party party Yes we're going to a party party Yes we're going to a party party I would like you to dance (Birthday) Take a cha-cha-cha-chance (Birthday) I would like you to dance (Birthday) Dance yeah Oh Come on I would like you to dance (Birthday) Take a cha-cha-cha-chance (Birthday) I would like you to dance (Birthday) Oh dance! Dance They say it's your birthday Well it's my birthday too, yeah They say it's your birthday We're gonna have a good time I'm glad it's your birthday Happy birthday to you","The Beatles","1968","Lennon/McCartney","Lennon/McCartney",0,1,1,0,0,1,1,0,0,11,54,11
"Blackbird","Blackbird singing in the dead of night Take these broken wings and learn to fly All your life You were only waiting for this moment to arise. Blackbird singing in the dead of night Take these sunken eyes and learn to see All your life You were only waiting for this moment to be free. Blackbird fly blackbird fly Into the light of the dark black night. Blackbird fly blackbird fly Into the light of the dark black night. Blackbird singing in the dead of night Take these broken wings and learn to fly All your life You were only waiting for this moment to arise You were only waiting for this moment to arise You were only waiting for this moment to arise.","The Beatles","1968","McCartney","McCartney",0,0,1,0,0,0,1,0,8,1,52,-7
"Blue Jay Way","There's a fog upon L. A. And my friends have lost their way We'll be over soon they said Now they've lost themselves instead. Please don't be long please don't you be very long Please don't be long or I may be asleep Well it only goes to show And I told them where to go Ask a policeman on the street There's so many there to meet Please don't be long please don't you be very long Please don't be long or I may be asleep Now it's past my bed I know And I'd really like to go Soon will be the break of day Sitting here in Blue Jay Way Please don't be long please don't you be very long Please don't be long or I may be asleep. Please don't be long please don't you be very long Please don't be long (2 times more) Don't be long Don't be long","Magical Mystery Tour","1967","Harrison","Harrison",1,0,0,0,1,0,0,0,3,2,61,-1
"Can't Buy Me Love","Can't buy me love, love Can't buy me love I'll buy you a diamond ring my friend if it makes you feel alright I'll get you anything my friend if it makes you feel alright 'Cause I don't care too much for money, money can't buy me love I'll give you all I got to give if you say you love me too I may not have a lot to give but what I got I'll give to you I don't care too much for money, money can't buy me love Can't buy me love, everybody tells me so Can't buy me love, no no no, no Say you don't need no diamond ring and I'll be satisfied Tell me that you want the kind of thing that money just can't buy I don't care too much for money, money can't buy me love","A Hard Day's Night","1964","McCartney","Lennon/McCartney",0,0,1,0,0,1,1,0,0,10,55,10
"Carry That Weight","Boy, you gotta carry that weight Carry that weight a long time Boy, you gotta carry that weight Carry that weight a long time I never give you my pillow I only send you my invitation And in the middle of the celebrations I break down Boy, you gotta carry that weight Carry that weight a long time Boy, you gotta carry that weight Carry that weight a long time","Abbey Road","1969","McCartney","Lennon/Harrison/Starr",0,0,1,0,0,1,0,0,1,0,39,-1
"Come Together","Here come old flattop he come grooving up slowly He got juju eyeball he one holy roller He got hair down to his knee Got to be a joker he just do what he please He wear no shoeshine he got toe-jam football He got monkey finger he shoot coca-cola He say ""I know you, you know me"" One thing I can tell you is you got to be free Come together right now over me He bag production he got walrus gumboot He got ono sideboard he one spinal cracker He got feet down below his knee Hold you in his armchair you can feel his disease Come together right now over me He roller-coaster he got early warning He got muddy water he one mojo filter He say ""one and one and one is three"" Got to be good-looking 'cause he's so hard to see Come together right now over me","Abbey Road","1969","Lennon","Lennon",0,1,0,0,0,1,0,0,6,5,78,-1
"Cry Baby Cry","Cry baby cry Make your mother sigh She's old enough to know better The king of Marigold was in the kitchen Cooking breakfast for the queen The queen was in the parlour Playing piano for the children of the king Cry baby cry Make your mother sigh She's old enough to know better So cry baby cry The king was in the garden Picking flowers for a friend who came to play The queen was in the playroom Painting pictures for the childrens holiday Cry baby cry Make your mother sigh She's old enough to know better So cry baby cry The duchess of Kircaldy always smiling And arriving late for tea The duke was having problems With a message at the local bird and bee Cry baby cry Make your mother sigh She's old enough to know better So cry baby cry At twelve o'clock a meeting round the table For a seance in the dark With voices out of nowhere Put on specially by the children for a lark Cry baby cry Make your mother sigh She's old enough to know better So cry baby cry cry cry cry baby Make your mother sigh She's old enough to know better Cry baby cry Cry cry cry Make your mother sigh She's old enough to know better So cry baby cry","The Beatles","1968","Lennon","Lennon/McCartney",0,1,0,0,0,1,1,0,30,15,95,-15
"Day Tripper","Got a good reason for taking the easy way out Got a good reason for taking the easy way out now She was a day tripper, a one way ticket yeah It took me so long to find out, and I found out She's a big teaser, she took me half the way there She's a big teaser, she took me half the way there now She was a day tripper, a one way ticket yeah It took me so long to find out, and I found out Tried to please her, she only played one night stands Tried to please her, she only played one night stands now She was a day tripper, a Sunday driver yeah It took me so long to find out, and I found out Day tripper Day tripper yeah Day tripper Day tripper yeah Day tripper",NA,"1965","Lennon/McCartney","Lennon/McCartney",0,1,1,0,0,1,1,0,0,4,74,4
"Dear Prudence","Dear Prudence, won't you come out to play Dear Prudence, greet the brand new day The sun is up, the sky is blue It's beautiful and so are you Dear Prudence won't you come out and play? Dear Prudence, open up your eyes Dear Prudence, see the sunny skies The wind is low, the birds will sing That you are part of everything Dear Prudence won't you open up your eyes? Look around round (Round, round, round...) Look around round (Round, round, round...) Look around Dear Prudence, let me see you smile Dear Prudence, like a little child The clouds will be a daisy chain So let me see you smile again Dear Prudence won't you let me see you smile?","The Beatles","1968","Lennon","Lennon",0,1,0,0,0,1,0,0,0,14,60,14
"Dig It","Like a rolling stone A like a rolling stone Like the fbi and the cia And the bbc Bb King And Doris Day Matt Busby Dig it, dig it, dig it Dig it, dig it, dig it, dig it, dig it, dig it, dig it, dig it","Let It Be","1969","Lennon/McCartney/Harrison/Starr","Lennon",1,1,1,1,0,1,0,0,0,3,23,3
"Dig a Pony","I dig a pony Well you can celebrate anything you want Well you can celebrate anything you want Ooh. I do a road hog Well you can penetrate any place you go Yes you can penetrate any place you go I told you, all I want is you. Everything has got to be just like you want it to Because I pick a moon dog Well you can radiate everything you are Yes you can radiate everything you are Ooh I roll a stoney Well you can imitate everyone you know Yes you can imitate everyone you know I told you, all I want is you. Everything has got to be just like you want it to Because I feel the wind blow Well you can indicate everything you see Yes you can indicate everything you see Ooh I dug a pony Well you can syndicate any boat you row Yes you can syndicate any boat you row I told you, all I want is you Everything has got to bejust like you want it to Because","Let It Be","1969","Lennon","Lennon",0,1,0,0,0,1,0,0,1,12,81,11
"Do You Want to Know a Secret?","You'll never know how much I really love you You'll never know how much I really care  Listen Do you want to know a secret Do you promise not to tell, whoa oh, oh  Closer Let me whisper in your ear Say the words you long to hear I'm in love with you  Listen Do you want to know a secret Do you promise not to tell, whoa oh, oh  Closer Let me whisper in your ear Say the words you long to hear I'm in love with you  I've known the secret for a week or two Nobody knows, just we two  Listen Do you want to know a secret Do you promise not to tell, whoa oh, oh  Closer Let me whisper in your ear Say the words you long to hear I'm in love with you","Please Please Me","1963","Lennon","Harrison",0,1,0,0,1,0,0,0,0,10,56,10
"Doctor Robert","Ring my friend, I said you call Doctor Robert Day or night he'll be there any time at all, Doctor Robert Doctor Robert, you're a new and better man He helps you to understand He does everything he can, Doctor Robert  If you're down he'll pick you up, Doctor Robert Take a drink from his special cup, Doctor Robert Doctor Robert, he's a man you must believe Helping everyone in need No one can succeed like Doctor Robert  Well, well, well, you're feeling fine Well, well, well, he'll make you... Doctor Robert  My friend works for the national health, Doctor Robert Don't pay money just to see yourself with Doctor Robert Doctor Robert, you're a new and better man He helps you to understand He does everything he can, Doctor Robert  Well, well, well, you're feeling fine Well, well, well, he'll make you... Doctor Robert  Ring my friend, I said you'd call Doctor Robert Ring my friend, I said you'd call Doctor Robert Doctor Robert","Revolver","1966","Lennon/McCartney","Lennon",0,1,1,0,0,1,0,0,0,20,84,20
"Don't Bother Me","Since she's been gone I want no one To talk to me. It's not the same, But I'm to blame, It's plain to see. So go away, Leave me alone, Don't bother me. I can't believe That she would leave Me on my own. It's just not right When everynight I'm all alone. I've got no time For you right now, Don't bother me. I know I'll never be the same, If I don't get her back again. Because I know she'll always be, The only girl for me. But 'till she's near Please don't come near, Stay away. I'll let you know When she's come home, Until that day, Don't come around, Leave me alone, Don't bother me, Don't bother me (fade)","With the Beatles","1963","Harrison","Harrison",1,0,0,0,1,0,0,0,5,2,42,-3
"Don't Let Me Down","Don't let me down, don't let me down Don't let me down, don't let me down Nobody ever loved me like she does Oh, she does, yeah, she does And if somebody loved me like she do me Oh, she do me, yes, she does Don't let me down, don't let me down Don't let me down, don't let me down I'm in love for the first time Don't you know it's gonna last It's a love that lasts forever It's a love that had no past (Seeking past) Don't let me down, don't let me down Don't let me down, don't let me down And from the first time that she really done me Oh, she done me, she done me good I guess nobody ever really done me Oh, she done me, she done me good Don't let me down, hey don't let me down Heeeee, don't let me down Don't let me down Don't let me down, don't let me let down Can you dig it? Don't let me down",NA,"1969","Lennon","Lennon",0,1,0,0,0,1,0,0,0,9,52,9
"Don't Pass Me By","I listen for your footsteps Coming up the drive Listen for your footsteps But they don't arrive Waiting for your knock, dear On my old front door I don't hear it Does it mean you don't love me any more? I hear the clock are ticking On the mantel shelf See the hands are moving But I'm by myself I wonder where you are tonight And why I'm by myself I don't see you Does it mean you don't love me any more? Don't pass me by, don't make me cry, don't make me blue Cause you know darling I love only you You'll never know it hurt me so How I hate to see you go Don't pass me by, don't make me cry, don't make me blue I'm sorry that I doubted you I was so unfair You were in a car crash And you lost your hair You said that you would be late About an hour or two I said that's alright I'm waiting here Just waiting to hear from you Don't pass me by, don't make me cry, don't make me blue Cause you know darling I love only you You'll never know it hurt me so How I hate to see you go Don't pass me by, don't make me cry","The Beatles","1968","Starr","Starr",0,0,0,1,0,0,0,1,12,7,63,-5
"Drive My Car","Asked a girl what she wanted to be She said baby, ""Can't you see I wanna be famous, a star on the screen But you can do something in between"" Baby you can drive my car Yes I'm gonna be a star Baby you can drive my car And maybe I love you I told a girl that my prospects were good And she said baby, ""It's understood Working for peanuts is all very fine But I can show you a better time"" Baby you can drive my car Yes I'm gonna be a star Baby you can drive my car And maybe I love you Beep Beep'm Beep Beep yeah Baby you can drive my car Yes I'm gonna be a star Baby you can drive my car And maybe I love you I told that girl I can start right away And she said, ""Listen baby I got something to say I got no car and it's breaking my heart But I've found a driver and that's a start"" Baby you can drive my car Yes I'm gonna be a star Baby you can drive my car And maybe I love you Beep Beep'm Beep Beep yeah Beep Beep'm Beep Beep yeah Beep Beep'm Beep Beep yeah Beep Beep'm Beep Beep yeah (fade out)","Rubber Soul","1965","Lennon/McCartney","Lennon/McCartney",0,1,1,0,0,1,1,0,1,9,113,8
"Eight Days a Week","Ooh i need your love babe, Guess you know it's true. Hope you need my love babe, Just like i need you. Hold me, love me, hold me, love me. Ain't got nothin'but love babe, Eight days a week. Love you ev'ry day girl, Always on my mind. One thing i can say girl, Love you all the time. Hold me, love me, hold me, love me. Ain't got nothin'but love babe, Eight days a week. Eight days a week I love you. Eight days a week Is not enough to show i care. Ooh i need your love babe, ... Eight days a week ... Love you ev'ry ... Eight days a week. eight days a week. eight days a week.","Beatles for Sale","1964","Lennon/McCartney","Lennon/McCartney",0,1,1,0,0,1,1,0,0,15,64,15
"Eleanor Rigby","Ah, look at all the lonely people Ah, look at all the lonely people Eleanor Rigby picks up the rice in the church where a wedding has been, Lives in a dream Waits at the window, wearing the face that she keeps in a jar by the door Who is it for? All the lonely people Where do they all come from? All the lonely people Where do they all belong? Father Mckenzie writing the words of a sermon that no one will hear No one comes near. Look at him working, darning his socks in the night when there's nobody there What does he care? All the lonely people Where do they all come from? All the lonely people Where do they all belong? Ah, look at all the lonely people Ah, look at all the lonely people Eleanor Rigby died in the church and was buried along with her name Nobody came Father Mckenzie wiping the dirt from his hands as he walks from the grave No one was saved All the lonely people (ah, look at all the lonely people) Where do they all come from? All the lonely people (ah, look at all the lonely people) Where do they all belong?","Revolver","1966","McCartney","McCartney",0,0,1,0,0,0,1,0,14,0,73,-14
"Every Little Thing","When I'm walking beside her People tell me I'm lucky. Yes, I know I'm a lucky guy. I remember the first time I was lonely without her. Yes I'm thinking about her now. Every little thing she does, She does for me, yeah. And you know the things she does, She does for me, oooh. When I'm with her I'm happy Just to know that she loves me. Yes, I know that she loves me now. There is one thing I'm sure of, I will love her forever. For I know love will never die. Every little thing she does, She does for me, yeah. And you know the things she does, She does for me, oooh. Every little thing she does, She does for me, yeah. And you know the things she does, She does for me, oooh. Every little thing, Every little thing (fade away)","Beatles for Sale","1964","McCartney","Lennon/McCartney",0,0,1,0,0,1,1,0,2,7,56,5
"Everybody's Got Something to Hide Except Me and My Monkey","(Lennon/Mccartney) Come on come on Come on come on Come on is such a joy Come on is such a joy Come on let's take it easy Come on let's take it easy Take it easy take it easy Everybody's got something to hide except for me and my monkey (Ooh) The deeper you go the higher you fly The higher you fly the deeper you go So come on (Come on) come on Come on is such a joy Come on is such a joy Come on let's make it easy Come on let's make it easy (Oh) Take it easy (Yeh yeh yeh) take it easy (Hoo) Everybody's got something to hide except for me and my monkey Oh! Your inside is out and your outside is in Your outside is in and your inside is out So come on (Ho) come on (Ho) Come on is such a joy Come on is such a joy Come on let's make it easy Come on let's make it easy Make it easy (Hoo) make it easy (Hoo) Everybody's got something to hide except for me and my monkey Hey! Come on, come on, come on, come on, come on Come on, come on, come on... Come on, come on, come on, come on, come on Come on, come on, come on...","The Beatles","1968","Lennon","Lennon",0,1,0,0,0,1,0,0,0,18,86,18
"Fixing a Hole","I'm fixing a hole where the rain gets in And stops my mind from wandering Where it will go I'm filling the cracks that ran through the door And kept my mind from wandering Where it will go And it really doesn't matter if I'm wrong I'm right Where I belong I'm right Where I belong See the people standing there who disagre and never win And wonder why they don't get in my door I'm painting my room in a colourful way And when my mind is wandering There I will go And it really doesn't matter if I'm wrong I'm right Where I belong I'm right Where I belong Silly people run around, they worry me And never ask me why they don't get past my door I'm taking the time for a number of things That weren't important yesterday And I still go Fixing a hole where the rain gets in Stops my mind from wandering Where it will go","Sgt. Pepper's Lonely Hearts Club Band","1967","McCartney","McCartney",0,0,1,0,0,0,1,0,5,7,59,2
"For No One","Your day breaks, your mind aches You find that all the words of kindness linger on When she no longer needs you She wakes up, she makes up She takes her time and doesn't feel she has to hurry She no longer needs you And in her eyes you see nothing No sign of love behind the tears Cried for no one A love that should have lasted years You want her, you need her And yet you don't believe her when she said her love is dead You think she needs you And in her eyes you see nothing No sign of love behind the tears Cried for no one A love that should have lasted years You stay home, she goes out She says that long ago she knew someone but now he's gone She doesn't need him Your day breaks, your mind aches There will be time when all the things she said will fil your head You won't forget her And in her eyes you see nothing No sign of love behind the tears Cried for no one A love that should have lasted years","Revolver","1966","McCartney","McCartney",0,0,1,0,0,0,1,0,5,8,73,3
"For You Blue","[Queen says no to pot smoking FBI members] Because you're sweet and lovely girl I love you, Because you're sweet and lovely girl it's true, I love you more than ever girl I do. I want you in the morining girl I love you, I want you at the moment I feel blue, I'm living ev'ry moment girl for you. I've loved you from the moment I saw you, You looked at me that's all you had to do, I feel it now I hope you feel it too. Because you're sweet and lovely girl I love you, Because you're sweet and lovely girl it's true, I love you more than ever girl I do. I really love you.","Let It Be","1969","Harrison","Harrison",1,0,0,0,1,0,0,0,0,15,35,15
"From Me to You","If there's anything that you want, If there's anything I can do, Just call on me and i'll send it along With love from me to you. I've got everything that you want, Like a heart that is oh, so true. Just call on me and i'll send it along With love from me to you. I got arms that long to hold you And keep you by my side. I got lips that long to kiss you And keep you satisfied, oooh. If there's anything that you want, If there's anything I can do, Just call on me and i'll send it along With love from me to you. From me, to you. Just call on me and i'll send it along With love from me to you. I got arms that long to hold you And keep you by my side. I got lips that long to kiss you And keep you satisfied, oooh. If there's anything that you want, If there's anything I can do, Just call on me and i'll send it along With love from me to you. To you, to you, to you.",NA,"1963","Lennon/McCartney","Lennon/McCartney",0,1,1,0,0,1,1,0,0,8,61,8
